Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Turkey,2019,Leprosy,Respiratory,8.74,1.42,1.54,19-35,Other,124225,59.94,0.8,6.22,Vaccination,20405,No,73.62,2958,4.22,50131,0.76,70.77
Russia,2017,Diabetes,Respiratory,15.96,10.06,5.16,19-35,Male,753582,61.65,2.47,5.49,Medication,48049,No,58.86,4099,1.28,48858,0.59,75.36
Australia,2022,Parkinson's Disease,Respiratory,1.21,11.67,7.07,36-60,Female,968955,84.01,1.64,8.61,Therapy,34503,Yes,64.35,996,6.53,45564,0.75,62.99
Russia,2020,Cancer,Respiratory,10.72,3.24,4.78,0-18,Female,13136,83.91,2.39,8.69,Vaccination,10553,No,79.27,2335,7.3,70636,0.81,82.78
Nigeria,2023,Measles,Respiratory,4.48,4.96,8.83,19-35,Female,221895,96.19,2.34,9.97,Surgery,47160,Yes,79.48,2969,9.69,6193,0.81,20.6
Indonesia,2021,Ebola,Respiratory,9.06,8.01,4.86,0-18,Male,63486,72.5,3.24,1.94,Medication,27354,Yes,73.07,3062,0.36,89364,0.45,34.74
India,2017,Dengue,Respiratory,7.49,13.71,9.88,36-60,Female,81420,58.84,1.33,3.74,Medication,31753,No,92.39,4853,1.85,27290,0.64,67.09
South Africa,2023,Rabies,Respiratory,18.62,1.1,9.29,19-35,Male,769808,65.25,3.1,9.95,Therapy,16411,Yes,77.12,4109,4.92,88198,0.79,46.83
Brazil,2022,Zika,Respiratory,15.12,1.29,2.32,36-60,Male,731934,81.72,1.89,1.99,Surgery,21539,No,57.85,109,4.34,16181,0.66,64.95
South Korea,2021,Cancer,Respiratory,9.63,3.08,1.6,19-35,Male,934854,99.02,2.88,3.76,Therapy,9301,No,56.67,1229,3.31,83262,0.84,26.73
Russia,2017,Cholera,Respiratory,12.18,0.65,5.87,0-18,Female,760533,88.99,4.43,9.9,Therapy,2552,No,81.21,2799,0.31,34745,0.65,79.41
USA,2019,Ebola,Respiratory,7.27,7.11,9.48,0-18,Other,696180,87.68,2.42,4.02,Therapy,28926,No,89.78,3683,5.87,40663,0.74,43.51
India,2022,Leprosy,Respiratory,9.66,5.31,9.58,61+,Male,406253,73.04,0.65,8.38,Vaccination,32393,No,62.07,3035,9.72,22547,0.7,72.47
Saudi Arabia,2018,Parkinson's Disease,Respiratory,19.61,0.72,2.37,0-18,Male,809469,98.63,0.97,9,Therapy,15422,No,79.1,2240,1.4,31263,0.66,86.95
Saudi Arabia,2021,Hepatitis,Respiratory,16.17,8.91,4.58,61+,Female,948481,81.87,1.33,0.74,Surgery,42823,No,98.76,1136,2.59,31966,0.43,82
Australia,2018,Measles,Respiratory,19.08,11.96,8.74,0-18,Male,581212,65.54,0.59,3.96,Surgery,26980,Yes,60.68,1482,1.19,27903,0.41,24.4
Russia,2018,Hypertension,Respiratory,0.21,3.51,5.3,36-60,Female,923561,53.62,3.7,5.3,Therapy,19439,No,77.38,2007,6.78,61038,0.5,71.89
Indonesia,2021,Hepatitis,Respiratory,10.44,7.95,6.82,0-18,Female,285432,51.1,2.3,7.12,Surgery,19662,No,71.94,3905,6.02,72468,0.54,23.08
France,2017,Zika,Respiratory,17.25,9.27,9.08,0-18,Male,469085,87.52,1.17,6.97,Surgery,37550,Yes,60.45,2202,6.35,12836,0.61,49.2
Indonesia,2018,Asthma,Respiratory,5.61,9.27,8.02,36-60,Male,22515,84.25,2.19,3.68,Surgery,2475,No,86.22,4863,7.49,80830,0.45,22.87
Nigeria,2023,Alzheimer's Disease,Respiratory,14.76,6.68,6.8,36-60,Male,449816,70.91,3.54,2.35,Vaccination,4550,Yes,92.12,3619,6.13,19004,0.47,62.57
India,2019,Alzheimer's Disease,Respiratory,15.48,8.18,5.43,36-60,Female,51949,74.48,0.5,10,Vaccination,7707,Yes,89.66,1266,3.56,36292,0.66,40.83
South Korea,2017,Hepatitis,Respiratory,3.49,0.98,8.52,19-35,Female,576507,64,4.45,7.55,Therapy,30682,Yes,54.78,854,5.04,67255,0.6,68.57
Canada,2017,Alzheimer's Disease,Respiratory,19.43,9.61,1.05,19-35,Other,167787,67.13,3.77,2.2,Medication,10911,Yes,50.77,2964,2.53,76830,0.69,75.38
